"id","acelX","acelY","acelZ","girX","girY","girZ","idTipoMovimento","mag"
10075,1124.0,-168.0,4550.0,5296.0,-6293.0,-6680.0,2,-2558.0
10076,1286.0,-365.0,4104.0,5184.0,-5396.0,-123.0,2,-5142.0
10077,1721.0,-246.0,3491.0,5184.0,13755.0,5798.0,2,11814.0
10078,907.0,-773.0,3905.0,5200.0,-9451.0,-6785.0,2,-4070.0
10079,1513.0,-966.0,4595.0,5168.0,4203.0,7015.0,2,-9547.0
10080,1290.0,68.0,3083.0,5168.0,4071.0,1624.0,2,4433.0
10081,1043.0,-1385.0,2915.0,5136.0,-1984.0,-2500.0,2,-2590.0
10082,805.0,-206.0,4513.0,5136.0,-1766.0,1451.0,2,-5634.0
10083,1177.0,216.0,3866.0,5136.0,2230.0,2260.0,2,10969.0
10084,908.0,-147.0,3620.0,5184.0,-182.0,-1090.0,2,-4081.0
10085,1061.0,-829.0,4201.0,5168.0,-3448.0,-2683.0,2,-5588.0
10086,1325.0,-1555.0,2888.0,5184.0,4402.0,-1816.0,2,15748.0
10087,931.0,-1052.0,3353.0,5104.0,1329.0,636.0,2,774.0
10088,405.0,-751.0,3894.0,5200.0,-6842.0,3784.0,2,-10649.0
10089,76.0,-1271.0,3922.0,5200.0,-627.0,2208.0,2,-15997.0
10090,1226.0,-74.0,3073.0,5200.0,-1897.0,552.0,2,-1990.0
10091,1138.0,-513.0,3428.0,5104.0,6928.0,1307.0,2,6287.0
10092,1073.0,-673.0,3347.0,5104.0,-3577.0,-2698.0,2,-5254.0
10093,1043.0,-971.0,2641.0,5120.0,-2355.0,-3662.0,2,10030.0
10094,976.0,-733.0,3694.0,5104.0,825.0,-499.0,2,3890.0
10095,874.0,-1012.0,3563.0,5200.0,-3971.0,1137.0,2,-9081.0
10096,793.0,-251.0,3101.0,5184.0,-4835.0,-2811.0,2,-3331.0
10097,781.0,-234.0,4591.0,5184.0,-4464.0,-6804.0,2,4079.0
10098,1060.0,-524.0,4075.0,5008.0,-3391.0,-5632.0,2,-3330.0
10099,1230.0,-711.0,2664.0,5136.0,3951.0,-579.0,2,10603.0
10100,1082.0,-459.0,3740.0,5200.0,3267.0,796.0,2,121.0
10101,1270.0,-835.0,3781.0,5168.0,-6140.0,-1883.0,2,-8634.0
10102,1152.0,-714.0,2874.0,5200.0,3544.0,-399.0,2,8250.0
10103,713.0,-519.0,3616.0,5200.0,-3813.0,-2587.0,2,-2026.0
10104,1046.0,-1803.0,5254.0,5008.0,1235.0,4678.0,2,-4516.0
10105,1005.0,-756.0,3625.0,5136.0,-6019.0,1771.0,2,-9060.0
10106,875.0,-640.0,3343.0,5136.0,-6077.0,-525.0,2,-12098.0
10107,1052.0,-60.0,3491.0,5136.0,-450.0,-2576.0,2,8220.0
10108,548.0,-490.0,3296.0,5184.0,-4533.0,-4855.0,2,-4304.0
10109,1161.0,-738.0,5345.0,5104.0,-2621.0,2326.0,2,-14867.0
10110,853.0,465.0,3343.0,5136.0,-980.0,-7.0,2,1991.0
10111,628.0,-424.0,3316.0,5072.0,-3747.0,-4161.0,2,-3879.0
10112,1509.0,-441.0,5366.0,5056.0,427.0,1787.0,2,-1275.0
10113,1105.0,430.0,3561.0,5072.0,1507.0,-313.0,2,6149.0
10114,745.0,-255.0,3357.0,5136.0,-4092.0,-7824.0,2,4818.0
10115,977.0,-328.0,3296.0,5184.0,7853.0,-1365.0,2,16596.0
10116,1217.0,-392.0,4314.0,5184.0,4309.0,1122.0,2,4916.0
10117,1464.0,-695.0,3856.0,5184.0,-5279.0,-1269.0,2,-4915.0
10118,1289.0,-934.0,2717.0,5136.0,3350.0,-1372.0,2,13108.0
10119,925.0,-20.0,4075.0,5136.0,1056.0,-2648.0,2,2451.0
10120,907.0,-161.0,4449.0,5136.0,-3418.0,-7011.0,2,7481.0
10121,1354.0,-641.0,3253.0,5184.0,6122.0,405.0,2,12498.0
10122,786.0,-456.0,3398.0,5056.0,-5900.0,-3719.0,2,-2065.0
10123,1052.0,-805.0,4875.0,5072.0,-2377.0,2930.0,2,-8203.0
10124,1577.0,-1076.0,3981.0,5136.0,9824.0,3848.0,2,4176.0
10125,1135.0,-594.0,4177.0,5136.0,9816.0,6128.0,2,8383.0
10126,57.0,-669.0,2974.0,5024.0,-6127.0,-2657.0,2,-8138.0
10127,1581.0,-765.0,3936.0,5136.0,7743.0,3931.0,2,-705.0
10128,994.0,675.0,3934.0,5072.0,4729.0,1467.0,2,780.0
10129,649.0,-135.0,3720.0,5056.0,-7018.0,-6241.0,2,-865.0
10130,984.0,-1045.0,4000.0,5184.0,-4100.0,-1891.0,2,-5479.0
10131,1159.0,-711.0,2839.0,5200.0,-626.0,-963.0,2,7711.0
10132,931.0,-437.0,4040.0,5184.0,1295.0,1024.0,2,-2467.0
10133,486.0,-247.0,4284.0,5104.0,-8345.0,-5898.0,2,-8603.0
10134,1478.0,-733.0,3193.0,5056.0,-1650.0,107.0,2,-108.0
10135,938.0,-424.0,3591.0,5136.0,-777.0,-137.0,2,-1747.0
10136,1448.0,-308.0,3917.0,5104.0,635.0,1292.0,2,2854.0
10137,1260.0,-484.0,4832.0,5136.0,10303.0,3663.0,2,3997.0
10138,1380.0,-697.0,3692.0,5072.0,-5119.0,1014.0,2,-5452.0
10139,1041.0,-93.0,3517.0,5184.0,-1953.0,-2412.0,2,7078.0
10140,654.0,-206.0,3541.0,5136.0,942.0,-5832.0,2,9615.0
10141,905.0,-196.0,3829.0,5056.0,5626.0,-2302.0,2,17463.0
10142,613.0,-697.0,2987.0,5056.0,-5848.0,-3791.0,2,-4946.0
10143,873.0,-475.0,2962.0,5072.0,3931.0,1900.0,2,4722.0
10144,797.0,108.0,5098.0,5072.0,4600.0,1060.0,2,7345.0
10145,1292.0,-46.0,2415.0,5104.0,-9084.0,-7144.0,2,-498.0
10146,1335.0,-862.0,3529.0,5104.0,7274.0,4241.0,2,3086.0
10147,1637.0,-251.0,2513.0,5024.0,6518.0,1520.0,2,2496.0
10148,819.0,-310.0,2595.0,5072.0,-6139.0,-5144.0,2,-3447.0
10149,1227.0,-488.0,5718.0,5168.0,-3671.0,889.0,2,3872.0
10150,1452.0,431.0,2804.0,5056.0,808.0,337.0,2,9206.0
10151,730.0,-51.0,3747.0,5104.0,168.0,-4213.0,2,725.0
10152,1068.0,-635.0,4101.0,5168.0,-4057.0,-504.0,2,-1613.0
10153,1308.0,-427.0,2638.0,5072.0,2773.0,446.0,2,4592.0
10154,1004.0,-111.0,4091.0,5056.0,253.0,-2314.0,2,3379.0
10155,1011.0,48.0,4069.0,5056.0,-5489.0,-5958.0,2,-5011.0
10156,1335.0,-1196.0,2841.0,5072.0,1908.0,3337.0,2,41.0
10157,441.0,161.0,4927.0,5056.0,3913.0,3161.0,2,6804.0
10158,883.0,-172.0,4004.0,5104.0,-3110.0,-4140.0,2,-9309.0
10159,1368.0,-692.0,2867.0,5008.0,3753.0,2361.0,2,4474.0
10160,1105.0,-2.0,4710.0,5136.0,-18.0,1506.0,2,-2166.0
10161,233.0,-533.0,4030.0,5024.0,-7937.0,-2792.0,2,-20496.0
10162,494.0,295.0,3901.0,4992.0,-1218.0,-1138.0,2,-1679.0
10163,714.0,-751.0,3239.0,5136.0,-5583.0,-4191.0,2,-3332.0
10164,1240.0,-699.0,3147.0,5120.0,4778.0,3421.0,2,986.0
10165,1350.0,-309.0,4336.0,5104.0,6510.0,4728.0,2,5734.0
10166,1434.0,-147.0,3320.0,5104.0,-9347.0,-8326.0,2,1774.0
10167,1014.0,-571.0,2728.0,5072.0,6466.0,1499.0,2,11040.0
10168,1512.0,-26.0,4389.0,5104.0,5480.0,6115.0,2,2839.0
10169,1024.0,-518.0,2585.0,5104.0,-9462.0,-4883.0,2,-6542.0
10170,1464.0,-600.0,2905.0,5104.0,579.0,3996.0,2,-7636.0
10171,1795.0,-474.0,2747.0,5008.0,10141.0,6911.0,2,-173.0
10172,769.0,-641.0,2887.0,4992.0,-7052.0,-5968.0,2,-1518.0
10173,1241.0,-737.0,3322.0,5072.0,325.0,3045.0,2,-7629.0
10174,1696.0,-761.0,3235.0,5056.0,3712.0,8327.0,2,-6661.0
10175,445.0,-574.0,3260.0,5072.0,-3116.0,-3236.0,2,-9570.0
10176,1487.0,-580.0,4600.0,5056.0,6956.0,6254.0,2,115.0
10177,1267.0,306.0,4046.0,5072.0,-1139.0,1436.0,2,-13409.0
10178,331.0,-622.0,3282.0,5024.0,-6004.0,-2878.0,2,-12443.0
10179,1925.0,-899.0,2863.0,5008.0,134.0,3897.0,2,-5269.0
10180,1197.0,-741.0,4118.0,5056.0,312.0,-762.0,2,-3030.0
10181,684.0,-1321.0,2912.0,5072.0,-5860.0,3470.0,2,-10786.0
10182,721.0,-317.0,3885.0,5104.0,735.0,-1767.0,2,3100.0
10183,984.0,-1270.0,3164.0,5024.0,-12756.0,-4380.0,2,-24228.0
10184,3411.0,-1243.0,1887.0,5056.0,-9288.0,-383.0,2,-4688.0
10185,3156.0,-2570.0,1702.0,5072.0,2406.0,-3132.0,2,5686.0
10186,2893.0,-3066.0,1274.0,5104.0,-902.0,2533.0,2,-1091.0
10187,2745.0,-2060.0,860.0,5104.0,-462.0,554.0,2,1050.0
10188,2819.0,-2642.0,697.0,5136.0,-2205.0,2086.0,2,-685.0
10189,2589.0,-666.0,3552.0,5056.0,-2359.0,-3931.0,2,-10998.0
10190,1895.0,-672.0,2984.0,5008.0,1747.0,6744.0,2,-2344.0
10191,1501.0,-128.0,3077.0,5056.0,-8763.0,-4586.0,2,-8612.0
10192,1474.0,-670.0,3434.0,5072.0,4663.0,2005.0,2,6527.0
10193,1125.0,-258.0,2754.0,5008.0,592.0,4005.0,2,-152.0
10194,1940.0,-576.0,2648.0,4944.0,-473.0,3339.0,2,-12241.0
10195,608.0,-580.0,5681.0,5008.0,11756.0,3459.0,2,7828.0
10196,579.0,-969.0,3683.0,5072.0,-8749.0,-2524.0,2,-19430.0
10197,2337.0,-165.0,2404.0,5072.0,-1999.0,-1583.0,2,-6516.0
10198,1872.0,-865.0,2778.0,5024.0,2155.0,5253.0,2,-156.0
10199,1267.0,-975.0,3712.0,4944.0,-6385.0,-1216.0,2,-11082.0
10200,1715.0,-760.0,3442.0,5008.0,8196.0,7225.0,2,9085.0
10201,582.0,-433.0,3434.0,4960.0,-5491.0,-4387.0,2,-5312.0
10202,1329.0,-696.0,2738.0,5056.0,2651.0,3374.0,2,3021.0
10203,1244.0,-369.0,4121.0,5104.0,3630.0,3699.0,2,-1368.0
10204,723.0,-694.0,3528.0,5072.0,-2900.0,-3216.0,2,-16304.0
10205,1272.0,-678.0,3247.0,5072.0,1831.0,2818.0,2,-572.0
10206,825.0,-586.0,3422.0,5104.0,-963.0,-1416.0,2,-2565.0
10207,1051.0,-958.0,4734.0,4960.0,-3590.0,1599.0,2,-9620.0
10208,882.0,-491.0,3798.0,5104.0,102.0,678.0,2,1761.0
10209,709.0,-701.0,3327.0,4992.0,-5247.0,-3024.0,2,-5732.0
10210,1862.0,-527.0,5145.0,5056.0,2200.0,4701.0,2,660.0
10211,1106.0,135.0,3752.0,5008.0,2679.0,1114.0,2,-8035.0
10212,446.0,-390.0,3073.0,5024.0,-4062.0,-1859.0,2,-9797.0
10213,1791.0,-303.0,2615.0,4960.0,-1298.0,2965.0,2,-3029.0
10214,862.0,-716.0,3884.0,4944.0,-961.0,-410.0,2,-3060.0
10215,1759.0,-268.0,5040.0,5008.0,8982.0,8573.0,2,-233.0
10216,728.0,52.0,3897.0,5056.0,-4070.0,-4234.0,2,-5344.0
10217,820.0,-611.0,3123.0,5056.0,-6291.0,-5343.0,2,-4720.0
10218,1500.0,-554.0,3473.0,5008.0,5463.0,5533.0,2,-6417.0
10219,1941.0,-155.0,2655.0,5008.0,3340.0,3304.0,2,-1107.0
10220,785.0,-547.0,3521.0,4992.0,-5091.0,-2631.0,2,-9117.0
10221,1443.0,-601.0,2820.0,4960.0,1221.0,3200.0,2,-6315.0
10222,1188.0,-174.0,4279.0,5024.0,-162.0,1482.0,2,-3157.0
10223,688.0,-1045.0,3724.0,5056.0,-4797.0,3476.0,2,-19589.0
10224,1303.0,-1179.0,2900.0,5008.0,982.0,3077.0,2,-5822.0
10225,904.0,-475.0,3733.0,4928.0,2074.0,133.0,2,-487.0
10226,1607.0,-577.0,4143.0,5024.0,-257.0,21.0,2,-3612.0
10227,1035.0,114.0,3014.0,5024.0,-421.0,-2028.0,2,14143.0
10228,73.0,-534.0,3571.0,4992.0,-2070.0,-1538.0,2,-6978.0
10229,1410.0,-722.0,2644.0,4992.0,-4127.0,736.0,2,-6442.0
10230,716.0,-943.0,3848.0,4896.0,-2796.0,-886.0,2,-5345.0
10231,841.0,-869.0,4110.0,5024.0,6348.0,8438.0,2,-4091.0
10232,774.0,-291.0,3258.0,5024.0,474.0,-304.0,2,-4581.0
10233,828.0,-690.0,3087.0,4960.0,-8127.0,-4565.0,2,-10828.0
10234,1484.0,-713.0,3442.0,4944.0,5868.0,5689.0,2,665.0
10235,1182.0,-455.0,4155.0,4928.0,7627.0,3081.0,2,15042.0
10236,149.0,-585.0,3506.0,4944.0,4704.0,89.0,2,1426.0
10237,842.0,-217.0,3443.0,4928.0,2107.0,-1243.0,2,4906.0
10238,312.0,-321.0,3817.0,4992.0,-518.0,-4156.0,2,3652.0
10239,534.0,722.0,3565.0,5056.0,5086.0,2888.0,2,7761.0
10240,1102.0,-415.0,3731.0,4992.0,-499.0,-407.0,2,1958.0
10241,971.0,-765.0,4236.0,5008.0,432.0,657.0,2,789.0
10242,746.0,-510.0,3362.0,4944.0,-5023.0,-3329.0,2,-11930.0
10243,455.0,-1104.0,3071.0,5008.0,1533.0,-311.0,2,-12050.0
10244,1546.0,173.0,4288.0,5024.0,2585.0,5593.0,2,-9510.0
10245,1150.0,-80.0,3561.0,4960.0,2879.0,1708.0,2,-7321.0
10246,1071.0,-561.0,3108.0,5056.0,-1496.0,-3308.0,2,-1835.0
10247,1182.0,-300.0,4242.0,4896.0,-2861.0,-2805.0,2,-4609.0
10248,1258.0,-629.0,2722.0,4960.0,2677.0,828.0,2,3593.0
10249,1264.0,-271.0,3624.0,4992.0,2273.0,-2874.0,2,3635.0
10250,1019.0,-178.0,3939.0,4928.0,-4928.0,-5828.0,2,-1679.0
10251,1370.0,-836.0,2800.0,5008.0,1366.0,1552.0,2,465.0
10252,1129.0,-583.0,3622.0,4960.0,-7030.0,-2629.0,2,-7908.0
10253,1039.0,-1410.0,4354.0,4944.0,-639.0,880.0,2,-3063.0
10254,690.0,-102.0,3718.0,4992.0,-128.0,-569.0,2,-3661.0
10255,370.0,96.0,3884.0,4960.0,-1038.0,-2894.0,2,1733.0
10256,1031.0,-545.0,3775.0,4960.0,7102.0,-705.0,2,17947.0
10257,1340.0,-1290.0,3019.0,4960.0,-1489.0,-5493.0,2,8404.0
10258,2152.0,-981.0,3509.0,4928.0,500.0,-805.0,2,8413.0
10259,922.0,-396.0,3210.0,4928.0,7084.0,103.0,2,16982.0
10260,606.0,-743.0,3792.0,4928.0,-7052.0,-4108.0,2,-5642.0
10261,1045.0,-147.0,3735.0,4960.0,-4300.0,305.0,2,-9228.0
10262,989.0,-566.0,3629.0,4992.0,8151.0,-149.0,2,16978.0
10263,1244.0,-79.0,3057.0,4944.0,2492.0,-1156.0,2,8486.0
10264,1806.0,-550.0,4733.0,4960.0,1392.0,2103.0,2,3868.0
10265,779.0,-117.0,3957.0,4944.0,1524.0,1740.0,2,-626.0
10266,302.0,-839.0,3417.0,4992.0,-221.0,1336.0,2,-9764.0
10267,1340.0,-118.0,3694.0,4928.0,-2292.0,1403.0,2,-62.0
10268,1722.0,-850.0,3489.0,4896.0,10228.0,7900.0,2,2120.0
10269,244.0,-943.0,3161.0,5008.0,-6526.0,-3108.0,2,-15590.0
10270,1131.0,-1062.0,2933.0,4896.0,2481.0,3203.0,2,-10314.0
10271,1345.0,-482.0,3599.0,4928.0,13421.0,3092.0,2,14765.0
10272,-697.0,-1275.0,3660.0,4928.0,-3840.0,-206.0,2,-16678.0
10273,817.0,-340.0,3618.0,4960.0,-3481.0,-2106.0,2,-6039.0
10274,450.0,-408.0,3243.0,4960.0,-3883.0,-2972.0,2,-7274.0
10275,1477.0,-722.0,4392.0,4928.0,4146.0,4916.0,2,3427.0
10276,1118.0,-109.0,4004.0,4928.0,6068.0,1056.0,2,1972.0
10277,821.0,-276.0,2895.0,4928.0,-4811.0,-2638.0,2,-1966.0
10278,902.0,-678.0,4006.0,4832.0,3626.0,3993.0,2,306.0
10279,1165.0,-756.0,3765.0,4960.0,12927.0,2407.0,2,14180.0
10280,-443.0,-1275.0,3754.0,4880.0,-7462.0,481.0,2,-17484.0
10281,555.0,-153.0,3571.0,4944.0,901.0,4088.0,2,-15207.0
10282,1067.0,-586.0,5287.0,4880.0,11712.0,7138.0,2,-2935.0
10283,456.0,-865.0,3023.0,4960.0,-4641.0,-311.0,2,-5788.0
10284,803.0,-935.0,2894.0,4944.0,2664.0,2087.0,2,-9283.0
10285,1087.0,-219.0,3957.0,4896.0,820.0,1385.0,2,8108.0
10286,498.0,-1117.0,3020.0,4880.0,-10542.0,-4495.0,2,-18512.0
